UTC_Time,ET_Seconds,Hours_Since_Start,Apparent_Magnitude,Phase_Angle_Deg,Observer_Distance_1000km
2020 FEB 05 12:00:00,634176069.1848863,0.0,-3.6145193702111555,30.852139335821835,38.65694115979639
2020 FEB 05 12:13:20,634176869.1848866,0.2222222222884496,-3.2875546195125693,33.94315930579303,38.65687889377706
2020 FEB 05 12:26:40,634177669.1848868,0.4444444445768992,-3.125103534507545,37.0557675365153,38.65643753554146
2020 FEB 05 12:40:00,634178469.184887,0.6666666668653488,-3.037609390558167,40.18461185543808,38.65561071021344
2020 FEB 05 12:53:20,634179269.1848873,0.8888888891537984,-2.9681912783714886,43.3258315191575,38.65439340400692
2020 FEB 05 13:06:40,634180069.1848874,1.1111111114091343,-2.8961576547830674,46.4765639774621,38.65278199506705
2020 FEB 05 13:20:00,634180869.1848876,1.3333333336975839,-2.8149717591688095,49.63463148738267,38.650774278523286
2020 FEB 05 13:33:20,634181669.1848879,1.5555555559860335,-2.721974066012862,52.79833582574835,38.648369485504844
2020 FEB 05 13:46:40,634182469.1848881,1.7777777782744832,-2.615096177354779,55.96631997010076,38.64556829589979
2020 FEB 05 14:00:00,634183269.1848884,2.000000000562933,-2.49173680605735,59.13747237870787,38.64237284468553
