UTC_Time,ET_Seconds,Hours_Since_Start,Magnitude_Shadowed,Magnitude_No_Shadow,Phase_Angle_Deg,Observer_Distance_1000km
2020 FEB 05 11:50:12,634175481.4297842,1.8367346944080458,-2.9092796027678,-3.252134015568,28.599261717967025,38.65674975831273
2020 FEB 05 11:57:33,634175922.2461108,1.959183674024211,-2.7621530940658126,-3.1247636520070152,30.28730413476848,38.656911975557826
2020 FEB 05 12:04:54,634176363.0624374,2.0816326536403764,-2.646532069211812,-3.0313212299677197,31.98468567139791,38.65696187895154
2020 FEB 05 12:12:15,634176803.8787642,2.204081633289655,-2.5720269315922586,-2.963945327368773,33.689936198415836,38.65689809117696
2020 FEB 05 12:19:36,634177244.6950908,2.3265306129058203,-2.529172468003992,-2.9136184144556054,35.40185988826926,38.656719354727166
2020 FEB 05 12:26:56,634177685.5114174,2.4489795925219853,-2.5020503994608383,-2.8735058473593362,37.11947442942576,38.656424533980335
2020 FEB 05 12:34:17,634178126.327744,2.5714285721381507,-2.48317985443164,-2.8383979960052486,38.84196538410452,38.65601261713057
2020 FEB 05 12:41:38,634178567.1440707,2.6938775517874296,-2.460484512308117,-2.8050998489338923,40.568651540142874,38.65548271796905
2020 FEB 05 12:48:59,634179007.9603974,2.8163265314035946,-2.4433191812817903,-2.7718963499665286,42.298958324764286,38.65483407751173
2020 FEB 05 12:56:20,634179448.776724,2.9387755110197595,-2.4255409247326476,-2.73802797644527,44.03239720428672,38.654066065466715
2020 FEB 05 13:03:40,634179889.5930507,3.0612244906690385,-2.4048742466362683,-2.703368272613279,45.76854956149196,38.65317818153977
2020 FEB 05 13:11:01,634180330.4093773,3.183673470285204,-2.3888896442908667,-2.668303528525499,47.5070539641973,38.65217005657317
2020 FEB 05 13:18:22,634180771.225704,3.306122449901369,-2.372378025640206,-2.6336505662113865,49.24759602776209,38.65104145351192
2020 FEB 05 13:25:43,634181212.0420307,3.4285714295506478,-2.344951055165353,-2.600729288949111,50.98990026819191,38.64979226819757
2020 FEB 05 13:33:04,634181652.8583573,3.5510204091668127,-2.3274614623312075,-2.571468383889517,52.733723504312884,38.64842252998601
2020 FEB 05 13:40:24,634182093.6746839,3.673469388782978,-2.31503198692349,-2.5488655904203554,54.478849476226415,38.64693240218219
2020 FEB 05 13:47:45,634182534.4910105,3.795918368399143,-2.311059800589934,-2.5363714442332608,56.225084413998296,38.645322182296354
2020 FEB 05 13:55:06,634182975.3073373,3.918367348048422,-2.3203423300105612,-2.5371202310999657,57.972253366351744,38.643592302114435
2020 FEB 05 14:02:27,634183416.1236639,4.040816327664587,-2.3463468791469566,-2.552788909917826,59.72019713032295,38.64174332758568
2020 FEB 05 14:09:48,634183856.9399905,4.163265307280753,-2.3881909491842244,-2.582119996371201,61.46876966952785,38.639775958519046
2020 FEB 05 14:17:09,634184297.7563173,4.285714286930031,-2.4379636289271254,-2.6186204354556466,63.21783591758104,38.63769102809666
2020 FEB 05 14:24:29,634184738.5726439,4.408163266546197,-2.4873452182515727,-2.655420940618683,64.96726989587738,38.635489502199846
2020 FEB 05 14:31:50,634185179.3889705,4.530612246162361,-2.527989039940419,-2.6853089552299636,66.7169530899249,38.63317247854286
2020 FEB 05 14:39:11,634185620.2052972,4.653061225811641,-2.5511315341932423,-2.700462093474556,68.46677302721801,38.630741185623855
2020 FEB 05 14:46:32,634186061.0216238,4.775510205427806,-2.5493771485370367,-2.694141603087708,70.21662202140914,38.62819698149062
2020 FEB 05 14:53:53,634186501.8379505,4.8979591850439705,-2.5171811196255156,-2.661324798186378,71.96639605455682,38.62554135231491
2020 FEB 05 15:01:13,634186942.6542772,5.02040816469325,-2.4401900135859123,-2.589604395563196,73.71599376193393,38.622775910789215
2020 FEB 05 15:08:34,634187383.4706038,5.142857144309414,-2.323458872485819,-2.4841596144375977,75.46531550093958,38.61990239434285
2020 FEB 05 15:15:55,634187824.2869304,5.26530612392558,-2.170277618982805,-2.349235990414609,77.21426248899083,38.61692266317211
2020 FEB 05 15:23:16,634188265.1032571,5.387755103541745,-1.9844821705535267,-2.189934643919326,78.9627359846016,38.61383869810173
2020 FEB 05 15:30:37,634188705.9195838,5.510204083191024,-1.7740136493018035,-2.0151239684948123,80.71063650438258,38.61065259826922
2020 FEB 05 15:37:58,634189146.7359104,5.632653062807189,-1.5478314940690758,-1.8342750089982367,82.45786305690538,38.60736657864472
2020 FEB 05 15:45:18,634189587.552237,5.7551020424233545,-1.3152408657697734,-1.6560291004445737,84.20431238865103,38.603982967377014
2020 FEB 05 15:52:39,634190028.3685638,5.877551022072633,-1.0858886995760209,-1.4873756843467412,85.9498782213807,38.60050420298623
2020 FEB 05 16:00:00,634190469.1848904,6.000000001688798,-0.8690376905586064,-1.3326437153519883,87.69445047385184,38.596932831400686
