UTC_Time,ET_Seconds,Hours_Since_Start,Magnitude_Shadowed,Magnitude_No_Shadow,Phase_Angle_Deg,Observer_Distance_1000km
2020 FEB 05 10:00:00,634168869.1848843,0.0,-4.352270906317543,-4.480606347818689,9.19598562591627,38.6421129561773
2020 FEB 05 10:07:21,634169310.0012109,0.12244897961616516,-4.541645376399881,-4.649469336148147,9.442973391262266,38.643720942604574
2020 FEB 05 10:14:42,634169750.8175377,0.24489795926544403,-4.687204055062715,-4.782420250174983,10.005427886930722,38.64524986543522
2020 FEB 05 10:22:02,634170191.6338643,0.3673469388816092,-4.782649495854514,-4.870190070718756,10.834256944382243,38.64669687975936
2020 FEB 05 10:29:23,634170632.4501909,0.4897959184977743,-4.830342175322873,-4.914747535868827,11.873738269905875,38.64805921601016
2020 FEB 05 10:36:44,634171073.2665176,0.6122448981470532,-4.831977561470502,-4.914709724015587,13.073651346546107,38.6493341834837
2020 FEB 05 10:44:05,634171514.0828443,0.7346938777632184,-4.784439614639314,-4.869944882888678,14.393861151515365,38.65051917380802
2020 FEB 05 10:51:26,634171954.8991709,0.8571428573793836,-4.688226392217867,-4.7815551444434305,15.804182144017567,38.65161166435739
2020 FEB 05 10:58:47,634172395.7154975,0.9795918369955486,-4.547687519236842,-4.6520507160170155,17.28250251053315,38.652609221598716
2020 FEB 05 11:06:07,634172836.5318242,1.1020408166448274,-4.3649724582967515,-4.4857143002079525,18.812734579280487,38.65350950436894
2020 FEB 05 11:13:28,634173277.3481508,1.2244897962609926,-4.143142305537584,-4.289123302383047,20.383127253450755,38.654310267073406
2020 FEB 05 11:20:49,634173718.1644775,1.3469387758771578,-3.8930628333155184,-4.066431922601179,21.98501442711049,38.655009362802474
2020 FEB 05 11:28:10,634174158.9808042,1.4693877555264367,-3.6243327222750104,-3.836810158851293,23.6119261806889,38.65560474635499
2020 FEB 05 11:35:31,634174599.7971308,1.591836735142602,-3.3577033694642004,-3.615373998681804,25.258967491647294,38.65609447716542
2020 FEB 05 11:42:51,634175040.6134574,1.7142857147587671,-3.1173066348001406,-3.4169020863483794,26.922384759485418,38.65647672212855
