UTC_Time,ET_Seconds,Hours_Since_Start,Magnitude_Shadowed,Magnitude_No_Shadow,Phase_Angle_Deg,Observer_Distance_1000km
2020 FEB 05 10:00:00,634168869.1848843,0.0,-5.90843841449697,-5.90843841449697,9.19598562591627,38.6421129561773
2020 FEB 05 11:30:00,634174269.1848859,1.500000000430478,-4.897984132917006,-4.94944680956533,24.02196277778978,38.65573715746555
2020 FEB 05 13:00:00,634179669.1848874,3.000000000860956,-2.8911265880379737,-2.933058339070957,44.90015799839298,38.65363713364641
2020 FEB 05 14:30:00,634185069.1848888,4.500000001258321,-2.076846118330028,-2.134140630571462,66.2795151692481,38.633762497412725
2020 FEB 05 16:00:00,634190469.1848904,6.000000001688798,1.1057351330255294,1.0484147061299183,87.69445047385184,38.596932831400686
